time,open,high,low,close,volume
2025-05-01 14:55:00 EDT,113.305,113.41,113.23,113.26,890300
2025-05-01 15:00:00 EDT,113.26,113.29,113.03,113.17,1357682
2025-05-01 15:05:00 EDT,113.17,113.2,113.06,113.08,862622
2025-05-01 15:10:00 EDT,113.0885,113.22,112.97,113.21,1562296
2025-05-01 15:15:00 EDT,113.2,113.28,113.045,113.135,1143802
2025-05-01 15:20:00 EDT,113.14,113.19,112.88,113.02,1304095
2025-05-01 15:25:00 EDT,113.01,113.07,112.9,113.0,985455
2025-05-01 15:30:00 EDT,113.0,113.04,112.83,112.935,1206098
2025-05-01 15:35:00 EDT,112.93,112.97,112.57,112.575,2016089
2025-05-01 15:40:00 EDT,112.58,112.73,112.31,112.3477,2223007
2025-05-01 15:45:00 EDT,112.35,112.66,112.3,112.5991,2215479
2025-05-01 15:50:00 EDT,112.6,112.75,111.95,112.065,4132640
2025-05-01 15:55:00 EDT,112.06,112.12,111.3,111.53,8097476
2025-05-02 09:30:00 EDT,114.17,115.4,113.95,115.05,11568031
2025-05-02 09:35:00 EDT,115.05,115.2255,114.54,114.93,4406238
2025-05-02 09:40:00 EDT,114.935,115.07,114.38,114.55,3726997
2025-05-02 09:45:00 EDT,114.56,114.715,113.71,113.71,4585606
2025-05-02 09:50:00 EDT,113.705,114.375,113.65,113.912,3816769
2025-05-02 09:55:00 EDT,113.93,114.0,113.61,113.93,2458369
2025-05-02 10:00:00 EDT,113.92,114.15,113.47,113.97,3345644
2025-05-02 10:05:00 EDT,113.965,114.255,113.88,113.98,2280481
2025-05-02 10:10:00 EDT,113.98,113.99,113.51,113.895,2313629
2025-05-02 10:15:00 EDT,113.8905,114.12,113.7901,113.8218,1783090
2025-05-02 10:20:00 EDT,113.825,113.8499,113.37,113.5899,2438691
2025-05-02 10:25:00 EDT,113.59,113.91,113.49,113.9094,2063239
2025-05-02 10:30:00 EDT,113.9,113.9099,113.49,113.8644,1841425
2025-05-02 10:35:00 EDT,113.865,114.05,113.75,114.01,1607127
2025-05-02 10:40:00 EDT,114.02,114.19,113.82,113.945,2205359
2025-05-02 10:45:00 EDT,113.935,114.05,113.81,113.94,1331680
2025-05-02 10:50:00 EDT,113.93,114.2,113.82,114.16,1734667
2025-05-02 10:55:00 EDT,114.1528,114.45,114.14,114.435,2350246
2025-05-02 11:00:00 EDT,114.43,114.65,114.38,114.5515,2073972
2025-05-02 11:05:00 EDT,114.56,114.595,114.4,114.41,1174291
2025-05-02 11:10:00 EDT,114.42,114.525,114.3,114.479,1389346
2025-05-02 11:15:00 EDT,114.47,114.7,114.44,114.5301,1517177
2025-05-02 11:20:00 EDT,114.53,114.64,114.3498,114.64,1506351
2025-05-02 11:25:00 EDT,114.64,114.8,114.54,114.6501,1624503
2025-05-02 11:30:00 EDT,114.66,114.84,114.5532,114.74,1334158
2025-05-02 11:35:00 EDT,114.7301,114.74,114.56,114.66,973057
2025-05-02 11:40:00 EDT,114.66,114.8,114.57,114.7617,947668
2025-05-02 11:45:00 EDT,114.765,114.85,114.72,114.805,1020584
2025-05-02 11:50:00 EDT,114.8,114.83,114.55,114.58,1082902
2025-05-02 11:55:00 EDT,114.58,114.8386,114.58,114.7599,899407
2025-05-02 12:00:00 EDT,114.76,115.1699,114.65,115.12,3995341
2025-05-02 12:05:00 EDT,115.12,115.23,114.78,114.84,1971661
2025-05-02 12:10:00 EDT,114.8455,115.22,114.71,115.155,1853435
2025-05-02 12:15:00 EDT,115.15,115.25,114.97,115.02,1457260
2025-05-02 12:20:00 EDT,115.0213,115.125,114.87,114.8999,1056224
2025-05-02 12:25:00 EDT,114.89,114.91,114.65,114.745,1580864
2025-05-02 12:30:00 EDT,114.745,114.8751,114.68,114.7524,983802
2025-05-02 12:35:00 EDT,114.7524,114.98,114.71,114.9119,1051465
2025-05-02 12:40:00 EDT,114.9102,114.93,114.67,114.695,959444
2025-05-02 12:45:00 EDT,114.695,114.7,114.47,114.5199,1441427
2025-05-02 12:50:00 EDT,114.52,114.64,114.42,114.5815,1083930
2025-05-02 12:55:00 EDT,114.58,114.65,114.4117,114.425,757101
2025-05-02 13:00:00 EDT,114.43,114.455,114.22,114.34,1389113
2025-05-02 13:05:00 EDT,114.335,114.38,113.95,113.9845,1714532
2025-05-02 13:10:00 EDT,113.98,114.15,113.96,114.095,1299762
2025-05-02 13:15:00 EDT,114.0955,114.3199,114.0955,114.3016,969843
2025-05-02 13:20:00 EDT,114.3058,114.48,114.21,114.285,1194595
2025-05-02 13:25:00 EDT,114.285,114.45,114.27,114.3645,678439
2025-05-02 13:30:00 EDT,114.365,114.43,114.19,114.245,810859
2025-05-02 13:35:00 EDT,114.245,114.6,114.22,114.5915,1133321
2025-05-02 13:40:00 EDT,114.595,114.64,114.395,114.595,1114842
2025-05-02 13:45:00 EDT,114.598,114.76,114.54,114.565,1502356
2025-05-02 13:50:00 EDT,114.565,114.64,114.38,114.5,1112810
2025-05-02 13:55:00 EDT,114.5,114.53,114.33,114.4553,860604
2025-05-02 14:00:00 EDT,114.455,114.67,114.43,114.641,874535
2025-05-02 14:05:00 EDT,114.645,114.8268,114.59,114.735,1269781
2025-05-02 14:10:00 EDT,114.73,114.8782,114.69,114.76,881698
2025-05-02 14:15:00 EDT,114.775,114.8328,114.6,114.622314,924198
2025-05-02 14:20:00 EDT,114.61,114.79,114.585,114.785,828146
2025-05-02 14:25:00 EDT,114.785,114.88,114.75,114.8,828853
2025-05-02 14:30:00 EDT,114.81,114.94,114.8,114.91,1180581
2025-05-02 14:35:00 EDT,114.9184,115.03,114.88,114.93,1766230
2025-05-02 14:40:00 EDT,114.925,114.93,114.67,114.76,1211954
2025-05-02 14:45:00 EDT,114.76,114.77,114.4,114.44,1283414
2025-05-02 14:50:00 EDT,114.44,114.57,114.33,114.5,1327697
2025-05-02 14:55:00 EDT,114.496,114.58,114.37,114.5,876197
2025-05-02 15:00:00 EDT,114.5,114.5,114.27,114.3675,1094227
2025-05-02 15:05:00 EDT,114.3683,114.525,114.24,114.48,1108669
2025-05-02 15:10:00 EDT,114.48,114.5099,114.22,114.315,997409
2025-05-02 15:15:00 EDT,114.31,114.53,114.3,114.49,1094957
2025-05-02 15:20:00 EDT,114.4849,114.55,114.37,114.455,878842
2025-05-02 15:25:00 EDT,114.455,114.545,114.41,114.47,966933
2025-05-02 15:30:00 EDT,114.46,114.48,114.18,114.305,1205212
2025-05-02 15:35:00 EDT,114.3049,114.41,114.12,114.335,1406512
2025-05-02 15:40:00 EDT,114.335,114.4099,114.2,114.2699,1228274
2025-05-02 15:45:00 EDT,114.265,114.3,113.9,113.97,2173986
2025-05-02 15:50:00 EDT,113.97,114.44,113.96,114.25,2815071
2025-05-02 15:55:00 EDT,114.255,114.63,114.05,114.39,7002259
2025-05-05 09:30:00 EDT,112.905,113.97,112.76,113.939,5635263
2025-05-05 09:35:00 EDT,113.92,114.18,113.7,113.71,3154728
2025-05-05 09:40:00 EDT,113.7248,114.02,113.49,113.88,2468703
